technology,sub_concept_id,sub_concept,lang,term,term_norm_v3,rule,gate,source,v2_reason
XBRL,XB-2,XBRL tagging and taxonomy use,ar,الترميز,ترميز,requires_co_term,XB-0,AR,
AI/ML,AI-8,RPA / robotic automation,ar,روبوت,روبوت,requires_co_term,AI-0,AR,
AI/ML,AI-8,RPA / robotic automation,en,robot,robot,requires_co_term,AI-0,HUS2022,
Cloud,CL-1,Cloud infrastructure / hosting / data centres (IaaS),en,IaaS,iaas,word_boundary+case_sensitive_raw,,ALOK2023,"Short Latin acronym: substring matching produced 86/86 FP in the JTEL pilot (api in capital, erp in enterprise, mes in homes, sap in disappearance)"
Cloud,CL-2,Cloud platforms (PaaS),en,PaaS,paas,word_boundary+case_sensitive_raw,,ALOK2023,"Short Latin acronym: substring matching produced 86/86 FP in the JTEL pilot (api in capital, erp in enterprise, mes in homes, sap in disappearance)"
XBRL,XB-0,Generic XBRL term (technology-level),en,XBRL,xbrl,word_boundary+case_sensitive_raw,,TH2.5.3,"Short Latin acronym: substring matching produced 86/86 FP in the JTEL pilot (api in capital, erp in enterprise, mes in homes, sap in disappearance)"
Cloud,CL-3,Cloud software / SaaS / cloud-based accounting or ERP,en,SaaS,saas,word_boundary+case_sensitive_raw,,ALOK2023,"Short Latin acronym: substring matching produced 86/86 FP in the JTEL pilot (api in capital, erp in enterprise, mes in homes, sap in disappearance)"
ERP,ERP-1,ERP implementation / upgrade (incl. named systems),en,Odoo,odoo,word_boundary+case_sensitive_raw,,ALTIN2025,"Short Latin acronym: substring matching produced 86/86 FP in the JTEL pilot (api in capital, erp in enterprise, mes in homes, sap in disappearance)"
AI/ML,AI-3,Natural language processing,en,NLP,nlp,word_boundary+case_sensitive_raw,,TH2.5.5,"Short Latin acronym: substring matching produced 86/86 FP in the JTEL pilot (api in capital, erp in enterprise, mes in homes, sap in disappearance)"
AI/ML,AI-8,RPA / robotic automation,en,RPA,rpa,word_boundary+case_sensitive_raw,,HUS2022,"Short Latin acronym: substring matching produced 86/86 FP in the JTEL pilot (api in capital, erp in enterprise, mes in homes, sap in disappearance)"
Big Data,BD-7,IoT / sensor data,en,IoT,iot,word_boundary+case_sensitive_raw,,HUS2022,"Short Latin acronym: substring matching produced 86/86 FP in the JTEL pilot (api in capital, erp in enterprise, mes in homes, sap in disappearance)"
ERP,ERP-6,"ERP integration with external/advanced systems (APIs, banks, NLP)",en,API,api,word_boundary+case_sensitive_raw,ERP-0,FACCIA2023,"Short Latin acronym: substring matching produced 86/86 FP in the JTEL pilot (api in capital, erp in enterprise, mes in homes, sap in disappearance)"
ERP,ERP-5,"ERP-based management reporting and costing (ABC, MES)",en,MES,mes,word_boundary+case_sensitive_raw,,TSAI2020,"Short Latin acronym: substring matching produced 86/86 FP in the JTEL pilot (api in capital, erp in enterprise, mes in homes, sap in disappearance)"
SAR,SAR-6,"Document automation feeding reporting (OCR, e-invoicing, e-archiving)",en,OCR,ocr,word_boundary+case_sensitive_raw,,ASHRAF2025,"Short Latin acronym: substring matching produced 86/86 FP in the JTEL pilot (api in capital, erp in enterprise, mes in homes, sap in disappearance)"
ERP,ERP-1,ERP implementation / upgrade (incl. named systems),en,SAP,sap,word_boundary+case_sensitive_raw,,ALTIN2025,"Short Latin acronym: substring matching produced 86/86 FP in the JTEL pilot (api in capital, erp in enterprise, mes in homes, sap in disappearance)"
ERP,ERP-0,Generic ERP term (technology-level),en,ERP,erp,word_boundary+case_sensitive_raw,,TH2.5.3;ALTIN2025,"Short Latin acronym: substring matching produced 86/86 FP in the JTEL pilot (api in capital, erp in enterprise, mes in homes, sap in disappearance)"
AI/ML,AI-1,Machine learning,en,ML,ml,word_boundary+case_sensitive_raw,,TH2.5.5,"Short Latin acronym: substring matching produced 86/86 FP in the JTEL pilot (api in capital, erp in enterprise, mes in homes, sap in disappearance)"
Big Data,BD-1,Data analytics / BI / dashboards,en,BI,bi,requires_co_term,,LI2025,"Short Latin acronym: substring matching produced 86/86 FP in the JTEL pilot (api in capital, erp in enterprise, mes in homes, sap in disappearance)"
AI/ML,AI-0,"Generic AI term (technology-level, not a sub-concept)",en,AI,ai,requires_co_term,,HUS2022,"Short Latin acronym: substring matching produced 86/86 FP in the JTEL pilot (api in capital, erp in enterprise, mes in homes, sap in disappearance)"
